station_id,date,value
BDF,1987-02-01,4.2
BDF,1987-03-01,14.0
BDF,1987-04-01,17.5
BDF,1987-05-01,0.0
BDF,1988-02-01,19.5
BDF,1988-03-01,19.7
BDF,1988-04-01,13.6
BDF,1988-05-01,6.0
BDF,1989-02-01,14.6
BDF,1989-03-01,17.7
BDF,1989-04-01,21.8
BDF,1989-05-01,0.0
BEM,1980-04-01,19.6
BEM,1981-04-01,15.0
BEM,1982-04-01,23.9
BEM,1983-04-01,47.8
BEM,1984-04-01,1.9
BEM,1985-04-01,17.1
BEM,1986-03-01,14.8
BEM,1986-04-01,10.7
BEM,1986-05-01,0.0
BEM,1987-02-01,5.1
BEM,1987-03-01,7.5
BEM,1987-04-01,6.1
BEM,1987-05-01,0.0
BEM,1988-02-01,10.9
BEM,1988-03-01,7.0
BEM,1988-04-01,0.0
BEM,1988-05-01,0.0
BEM,1989-02-01,11.3
BEM,1989-03-01,12.6
BEM,1989-04-01,9.1
BEM,1989-05-01,0.0
BFT,1980-02-01,8.3
BFT,1980-03-01,7.2
BFT,1980-04-01,9.8
BFT,1980-05-01,0.0
BFT,1981-02-01,4.2
BFT,1981-03-01,4.3
BFT,1981-04-01,4.2
BFT,1981-05-01,0.0
BFT,1982-02-01,11.3
BFT,1982-03-01,8.5
BFT,1982-05-01,6.0
BFT,1983-02-01,23.5
BFT,1983-04-01,40.0
BFT,1983-05-01,34.4
BFT,1983-06-01,0.0
BFT,1984-02-01,12.6
BFT,1984-03-01,17.4
BFT,1984-04-01,10.8
BFT,1984-05-01,0.0
BFT,1985-02-01,11.7
BFT,1985-03-01,13.8
BFT,1985-04-01,17.2
BFT,1985-05-01,0.0
BFT,1986-02-01,14.0
BFT,1986-03-01,14.2
BFT,1986-04-01,8.6
BFT,1986-05-01,0.0
BFT,1987-02-01,10.6
BFT,1987-03-01,12.6
BFT,1987-04-01,16.4
BFT,1987-05-01,0.0
BFT,1988-02-01,10.7
BFT,1988-03-01,8.4
BFT,1988-04-01,0.0
BFT,1988-05-01,0.0
BFT,1989-02-01,11.1
BFT,1989-03-01,10.9
BFT,1989-04-01,10.9
BFT,1989-05-01,0.0
BGH,1980-02-01,18.9
BGH,1980-03-01,36.8
BGH,1980-04-01,40.9
BGH,1980-05-01,37.3
BGH,1981-02-01,2.1
BGH,1981-03-01,11.0
BGH,1981-04-01,15.3
BGH,1981-05-01,12.7
BGH,1982-02-01,20.1
BGH,1982-03-01,21.0
BGH,1982-04-01,32.4
BGH,1982-05-01,38.0
BGH,1983-02-01,18.6
BGH,1983-03-01,33.6
BGH,1983-04-01,48.9
BGH,1983-05-01,48.0
BGH,1984-02-01,21.4
BGH,1984-03-01,21.3
BGH,1984-04-01,21.9
BGH,1984-05-01,22.0
BGH,1985-02-01,14.0
BGH,1985-03-01,16.4
BGH,1985-04-01,18.6
BGH,1985-05-01,14.4
BGH,1986-02-01,13.4
BGH,1986-03-01,37.0
BGH,1986-04-01,45.1
BGH,1986-05-01,43.3
BGH,1987-02-01,1.4
BGH,1987-03-01,4.9
BGH,1987-04-01,11.3
BGH,1987-05-01,6.6
BGH,1988-02-01,10.4
BGH,1988-03-01,10.0
BGH,1988-04-01,9.6
BGH,1988-05-01,7.3
BGH,1989-02-01,7.1
BGH,1989-03-01,13.6
BGH,1989-04-01,15.3
BGH,1989-05-01,8.3
BHM,1980-02-01,5.0
BHM,1980-04-01,16.2
BHM,1981-02-01,1.9
BHM,1981-04-01,7.5
BHM,1982-02-01,12.1
BHM,1982-04-01,11.6
BHM,1983-02-01,18.0
BHM,1983-04-01,30.6
BHM,1984-02-01,6.5
BHM,1984-04-01,0.0
BHM,1985-02-01,10.5
BHM,1985-04-01,10.8
BHM,1986-02-01,5.6
BHM,1986-04-01,11.6
BHM,1987-02-01,3.1
BHM,1987-04-01,1.3
BHM,1988-02-01,5.3
BHM,1988-04-01,0.0
BHM,1988-05-01,0.0
BHM,1989-02-01,7.2
BHM,1989-04-01,5.2
BHM,1989-05-01,0.0
BHV,1980-04-01,28.1
BHV,1980-05-01,17.5
BHV,1981-04-01,21.1
BHV,1981-05-01,12.4
BHV,1982-04-01,23.9
BHV,1983-04-01,55.8
BHV,1983-05-01,58.6
BHV,1983-06-01,33.1
BHV,1984-04-01,7.3
BHV,1984-05-01,0.0
BHV,1985-04-01,25.6
BHV,1985-05-01,8.8
BHV,1986-04-01,19.0
BHV,1986-05-01,0.0
BHV,1987-04-01,12.0
BHV,1987-05-01,0.0
BHV,1988-04-01,3.3
BHV,1988-05-01,0.0
BHV,1989-03-01,18.1
BHV,1989-04-01,22.1
BHV,1989-05-01,3.3
BLD,1980-02-01,24.7
BLD,1980-03-01,42.4
BLD,1980-04-01,48.4
BLD,1980-05-01,36.4
BLD,1981-02-01,14.7
BLD,1981-03-01,15.4
BLD,1981-04-01,22.7
BLD,1981-05-01,12.0
BLD,1982-02-01,22.2
BLD,1982-04-01,30.2
BLD,1982-05-01,36.1
BLD,1983-02-01,34.9
BLD,1983-03-01,48.3
BLD,1983-04-01,66.9
BLD,1983-05-01,76.2
BLD,1983-06-01,61.8
BLD,1984-02-01,22.9
BLD,1984-03-01,29.9
BLD,1984-04-01,29.0
BLD,1984-05-01,17.4
BLD,1985-02-01,15.4
BLD,1985-03-01,20.0
BLD,1985-04-01,22.5
BLD,1985-05-01,12.7
BLD,1986-02-01,19.3
BLD,1986-03-01,43.0
BLD,1986-04-01,43.5
BLD,1986-05-01,25.2
BLD,1987-02-01,7.1
BLD,1987-03-01,13.5
BLD,1987-04-01,19.3
BLD,1987-05-01,0.0
BLD,1988-02-01,18.7
BLD,1988-03-01,16.1
BLD,1988-04-01,9.3
BLD,1988-05-01,0.0
BLD,1989-02-01,17.5
BLD,1989-03-01,20.8
BLD,1989-04-01,27.1
BLD,1989-05-01,6.4
BLF,1980-02-01,28.6
BLF,1980-04-01,53.5
BLF,1980-05-01,45.5
BLF,1981-02-01,11.5
BLF,1981-03-01,16.1
BLF,1981-04-01,22.6
BLF,1981-05-01,20.4
BLF,1982-02-01,26.2
BLF,1982-03-01,34.3
BLF,1982-04-01,43.0
BLF,1982-05-01,49.8
BLF,1983-03-01,44.3
BLF,1983-04-01,65.1
BLF,1983-05-01,68.6
BLF,1983-06-01,57.4
BLF,1984-02-01,25.8
BLF,1984-03-01,31.8
BLF,1984-04-01,31.0
BLF,1984-05-01,37.9
BLF,1985-02-01,22.4
BLF,1985-03-01,22.9
BLF,1985-04-01,23.6
